"","Theme","Category","Source","Valence_mean","Valence_SD","Valence_N","Arousal_mean","Arousal_SD","Arousal_N"
"I49","Bark 1","Object","Pixabay",4.03703703703704,0.863874405958206,108,2.06730769230769,1.43644939202973,104
"I50","Bark 2","Object","Pixabay",4.25925925925926,0.857843093623741,108,2.11538461538462,1.45687317989085,104
"I51","Bark 3","Object","Pixabay",4.62745098039216,0.932595320718881,102,2.08910891089109,1.43595967841016,101
"I52","Bark 4","Object","Pixabay",4.23762376237624,0.736865182397501,101,2.24271844660194,1.50467258778151,103
"I53","Bark 5","Object","Pixabay",4.1980198019802,0.616762547179999,101,2.05825242718447,1.37787306053567,103
"I54","Bark 6","Object","Pixabay",4.25742574257426,0.687800339437757,101,2.20388349514563,1.38166724592081,103
"I55","Barrels 1","Object","Pixabay",4.20792079207921,0.571258814954628,101,2.46601941747573,1.49387989372445,103
"I56","BDSM 1","Person","Wikipedia",4.33333333333333,1.48479643791538,102,4.55445544554455,1.71741228320257,101
"I57","BDSM 2","Person","Wikipedia",3.93069306930693,1.57007914286239,101,4.30097087378641,1.89340937152084,103
"I58","BDSM 3","Person","Wikipedia",3.9537037037037,1.63709486967695,108,4.22115384615385,1.72337854436265,104
"I59","Beach 1","Scene","Pixabay",6.36633663366337,0.845254663130914,101,4.7378640776699,1.69173982290505,103
"I60","Beach 2","Scene","Pixabay",6.32352941176471,0.935141909132241,102,4.13861386138614,1.86563502845705,101
"I61","Beach 3","Scene","Pixabay",5.51485148514851,1.08271751981889,101,3.80582524271845,1.65717839826323,103
"I62","Beach 4","Scene","Wikipedia",5.92592592592593,0.973515680155425,108,3.625,1.74148413437828,104
"I63","Beach 5","Scene","Pixabay",5.59259259259259,1.23830632778806,108,3.35576923076923,1.56985107964034,104
"I64","Beach 6","Scene","Wikipedia",6.05555555555556,0.965123916631864,108,3.89423076923077,1.76766133266676,104
"I65","Beach 7","Scene","Pixabay",6.06862745098039,0.967387048402655,102,4.30693069306931,1.6837017209555,101
"I66","Beach 8","Scene","Pixabay",5.85294117647059,1.00884267408749,102,3.89108910891089,1.88627140199394,101
"I67","Bear 1","Animal","Wikipedia",5.14814814814815,1.14234399793701,108,3.33653846153846,1.61070796062746,104
"I68","Bear 2","Animal","Flickr/Tim Williams",4.41666666666667,1.31933854851872,108,3.77884615384615,1.72337854436265,104
"I69","Bear 3","Animal","Pixabay",5.46534653465347,0.965032190506033,101,4.32038834951456,1.44990596201494,103
"I70","Bed 1","Object","Flickr/Hannah",4.01980198019802,0.916299056201653,101,2.99029126213592,1.72919082079649,103
"I71","Bee 1","Animal","Wikipedia",3.64814814814815,1.4808106823333,108,3.61538461538462,1.7253545706098,104
"I72","Biking 1","Person","Pixabay",5.08823529411765,1.02544789708355,102,3.57425742574257,1.53848324432517,101
"I73","Billiards 1","Object","Pixabay",4.51960784313725,0.817268962803335,102,2.57425742574257,1.51885835187792,101
"I74","Bird 1","Animal","Pixabay",5.90740740740741,1.00964541788252,108,3.00961538461538,1.73762024691227,104
"I75","Bird 2","Animal","Pixabay",5.47524752475248,1.1008547534161,101,3.69902912621359,1.54561334647136,103
"I76","Bird 3","Animal","Pixabay",6.03703703703704,0.956296652893371,108,3.43269230769231,1.71098349663739,104
"I77","Bird 4","Animal","Pixabay",5.54901960784314,1.06824044258588,102,3.57425742574257,1.73405037212571,101
"I78","Bird 5","Animal","Pixabay",4.47058823529412,1.37665027773467,102,4.44554455445545,1.54580236462979,101
"I79","Birthday 1","Scene","Pixabay",5.7843137254902,0.950533471688317,102,3.45544554455446,1.63416493950426,101
"I80","Birthday 2","Person","Pixabay",5.32673267326733,1.17566075796625,101,3.37864077669903,1.59113047033079,103
"I81","Birthday 3","Scene","Pixabay",5.56862745098039,1.04842931953035,102,3.42574257425743,1.51885835187792,101
"I82","Bloody knife 1","Object","Flickr/Maarten Van Damme",1.84313725490196,1.06003080507466,102,4.54455445544554,1.93661949011801,101
"I83","Bloody knife 2","Object","Flickr/Steven Depolo",2.25742574257426,1.10139425590053,101,3.90291262135922,1.99270514286679,103
"I84","Boat 1","Object","Pixabay",4.57407407407407,1.12908617175431,108,2.79807692307692,1.71447185500323,104
"I85","Bored face 1","Person","Flickr",3.64814814814815,0.777184167481206,108,2.375,1.47593972039932,104
"I86","Bored pose 1","Person","Pixabay",3.55882352941176,1.06774055338452,102,2.92079207920792,1.44694967650455,101
"I87","Bored pose 2","Person","Pixabay",3.18627450980392,0.972191483368331,102,2.74257425742574,1.54047697383982,101
"I88","Bored pose 3","Person","Wikipedia",3.08823529411765,0.857153257279446,102,2.71287128712871,1.47876051924148,101
"I89","Bored pose 4","Person","Wikipedia",3.12745098039216,1.02127437986049,102,3.01980198019802,1.4420832016205,101
"I90","Bored pose 5","Person","All-free-download.com",3.8019801980198,0.927575355215931,101,3.03883495145631,1.48800649704126,103
"I91","Bored pose 6","Person","Pixabay",4.55882352941176,1.20702177797677,102,3.38613861386139,1.58095096084416,101
"I92","Bottle 1","Object","Pixabay",4.17647058823529,0.801134896811242,102,2.15841584158416,1.34709074131869,101
"I93","Boxing 1","Person","Pixabay",3.73529411764706,1.27369790306881,102,3.89108910891089,1.66673927234592,101
"I94","Boxing 2","Person","Pixabay",3.69607843137255,1.05106467178888,102,4.1980198019802,1.51009802317729,101
"I95","Bricks 1","Object","Pixabay",4.15686274509804,0.714005547295417,102,1.81188118811881,1.22239822715127,101
"I96","Bridge 1","Scene","Pixabay",5.89108910891089,0.999009410356178,101,3.55339805825243,1.77525560346764,103
"I97","Bubble 1","Object","Pixabay",4.79207920792079,1.08919081600212,101,3.07766990291262,1.68435313928249,103
"I98","Bubble 2","Object","Pixabay",5,1.03923048454133,101,3.03883495145631,1.74289780165152,103
"I99","Building 1","Scene","Pixabay",5.03703703703704,1.48466255913702,108,3.20192307692308,1.74811858750119,104
"I100","Building 2","Scene","Pixabay",4.7962962962963,1.13367535001802,108,3.17307692307692,1.82986183197598,104
"I101","Bungee jumping 1","Person","Wikipedia",4.2037037037037,1.3586638520215,108,4.55769230769231,1.97472831154219,104
"I102","Bungee jumping 2","Person","Wikipedia",4.76470588235294,1.17882699364884,102,4.65346534653465,1.71718166519653,101
"I103","Bungee jumping 3","Person","Flickr/Eric Chan",5.11111111111111,1.36260699371266,108,4.35576923076923,1.68326006638395,104
"I104","Camping 1","Person","Pixabay",5.6039603960396,0.980603976341031,101,3.25242718446602,1.6070826485448,103
"I105","Camping 2","Person","Pixabay",4.96039603960396,1.15689923570904,101,3.18446601941748,1.64345149009777,103
"I106","Camping 3","Person","Pixabay",5.01851851851852,1.03202442810944,108,2.98076923076923,1.55782253579304,104
"I107","Camping 4","Person","Pixabay",5.65686274509804,1.13010205479058,102,3.22772277227723,1.63022199788134,101
"I108","Camping 6","Person","Pixabay",3.88118811881188,1.00286717677738,101,3.13592233009709,1.43519175250461,103
"I109","Camping 7","Person","Pixabay",5.2156862745098,0.874585627262252,102,2.98019801980198,1.39269665052948,101
"I110","Camping 8","Person","Pixabay",3.55882352941176,1.34660210013001,102,3.73267326732673,1.60555964765505,101
"I111","Camping 9","Person","Pixabay",3.99019607843137,1.25465547351143,102,3.4950495049505,1.70659756460765,101
"I112","Camping 10","Scene","Pixabay",4.94117647058824,1.11536105606278,102,3.77227722772277,1.61790721686265,101
"I113","Candle 1","Object","Pixabay",5.04901960784314,1.01841899390009,102,3.30693069306931,1.69553870057528,101
"I114","Car 1","Object","Pixabay",5.22549019607843,1.28129623989083,102,4.32673267326733,1.88206753806068,101
"I115","Car 2","Object","Pixabay",3.92079207920792,1.09254902239517,101,2.87378640776699,1.56981085191619,103
"I116","Car accident 1","Object","Pixabay",2.14705882352941,0.9270100859623,102,4.0990099009901,1.7349636912342,101
"I117","Car accident 2","Object","Pixabay",1.97222222222222,1.00891663311974,108,4.08653846153846,1.83869189953591,104
"I118","Car accident 3","Object","Pixabay",2.67647058823529,1.25202224307166,102,4.4950495049505,1.60389377688323,101
"I119","Car accident 4","Object","Pixabay",2.02777777777778,0.941844812636531,108,3.96153846153846,1.81109352217912,104
"I120","Car crash 1","Scene","Wikipedia",1.85294117647059,0.762967873965577,102,4.55445544554455,1.75769876557249,101
"I121","Car crash 2","Scene","Wikipedia",1.99009900990099,0.83060278719675,101,4.21359223300971,1.87684803273422,103
"I122","Car crash 3","Scene","Wikipedia",2.02941176470588,0.826011319570284,102,4.66336633663366,1.72207565294195,101
"I123","Car race 1","Scene","Wikipedia",4.38888888888889,1.16677792081908,108,3.21153846153846,1.83108581996032,104
"I124","Car race 2","Scene","Wikipedia",4.36633663366337,1.06510818490168,101,3.59223300970874,1.81192614014232,103
"I125","Car race 3","Scene","Wikipedia",4.3960396039604,1.07776813759539,101,3.68932038834951,1.79885108329577,103
"I126","Car race 4","Scene","Wikipedia",4.14705882352941,1.1379768292159,102,3.47524752475248,1.72970552063605,101
"I127","Cardboard 1","Object","Pixabay",4.01851851851852,0.431937202979103,108,1.98076923076923,1.37226882666491,104
"I128","Cardboard 2","Object","Pixabay",4.00925925925926,0.587969265684951,108,2.06730769230769,1.47644563402501,104
"I129","Cardboard 3","Object","Pixabay",3.74509803921569,0.804520329507078,102,1.86138613861386,1.2730255533201,101
"I130","Cat 1","Animal","Pixabay",5.42156862745098,1.16411930345192,102,3.84158415841584,1.57310313245716,101
"I131","Cat 2","Animal","Pixabay",5.4950495049505,1.17152688723936,101,3.98058252427184,1.74884041427272,103
"I132","Cat 3","Animal","Pixabay",6,1.11907839251687,108,4.22115384615385,1.90021322650871,104
"I133","Cat 4","Animal","Pixabay",5.84313725490196,1.07854961318582,102,3.53465346534653,1.76388410297073,101
"I134","Cat 5","Animal","Pixabay",6.2156862745098,0.991323257868958,102,4.86138613861386,1.78902041894606,101
"I135","Cat 6","Animal","Pixabay",4.7156862745098,1.4649532887521,102,4.02970297029703,1.68793036316404,101
"I136","Cat 7","Animal","Wikipedia",3.32352941176471,1.25990542396809,102,4.40594059405941,1.57593285276868,101
"I137","Cat 8","Animal","Flickr/Markus Schoepke",4.76470588235294,1.3800306395525,102,3.63366336633663,1.50812978405194,101
"I138","Cat 9","Animal","Pixabay",5.33333333333333,1.33954937324627,108,3.60576923076923,1.75387653433326,104
"I139","Cat 10","Animal","Pixabay",5.45098039215686,1.15721970479088,102,3.42574257425743,1.47882747238118,101
"I140","Cat 11","Animal","Pixabay",5.36633663366337,1.1808706303167,101,3.60194174757282,1.64101717514547,103
"I141","Cat 12","Animal","Wikipedia",5.18518518518519,1.23914462619917,108,3.38461538461538,1.71971826721587,104
"I142","Cat 13","Animal","Flickr/Marjolein Knuit",5.45544554455446,1.16210801972319,101,3.71844660194175,1.93227223616904,103
"I143","Cat 14","Animal","Skeezix Scratching Post",5.70588235294118,1.1568841328816,102,4.00990099009901,1.7175275805934,101
"I144","Celebration 1","Person","Pixabay",5.32352941176471,1.10947106036158,102,3.8019801980198,1.69127054003904,101
"I145","Celebration 2","Scene","Pixabay",4.8921568627451,1.07082703991255,102,4.15841584158416,1.4746706294446,101
"I146","Cemetery 1","Scene","Pixabay",4.1078431372549,1.35637010300971,102,3.48514851485149,1.68293708370895,101
"I147","Cemetery 2","Scene","Pixabay",3.99009900990099,1.29224648968338,101,4.21359223300971,1.93345411439943,103
"I148","Cemetery 3","Scene","Pixabay",2.94444444444444,1.37285658482312,108,3.63461538461538,1.88534301845493,104
"I149","Cemetery 4","Scene","Pixabay",2.79411764705882,1.18854462375453,102,4.33663366336634,1.90933091800647,101
"I150","Cemetery 5","Scene","Pixabay",2.50980392156863,1.22470524268888,102,4.7029702970297,1.83054393258094,101
"I151","Cheerleader 1","Person","Pixabay",5.29411764705882,1.21531673167918,102,4.27722772277228,1.73849827081414,101
"I152","Cheerleader 2","Person","Pixabay",5.1980198019802,1.10471536587664,101,4.12621359223301,1.64900214420059,103
"I153","Child labor 1","Person","Pixabay",4.25925925925926,1.00810148549323,108,3.27884615384615,1.49729030831155,104
"I154","Child labor 2","Person","Pixabay",2.82178217821782,1.12601988973517,101,3.6504854368932,1.79710408584869,103
"I155","Child labor 3","Person","Pixabay",4.08823529411765,1.17820925688072,102,3.5049504950495,1.58507894047103,101
"I156","Child labor 4","Person","Pixabay",4.01851851851852,0.995142233589963,108,3.03846153846154,1.58220122517743,104
"I157","Children 1","Person","Flickr/Stefano Corso",5.72277227722772,1.04994106388109,101,3.52427184466019,1.70836844647324,103
"I158","Chipmunk 1","Animal","Pixabay",5.41176470588235,1.08411519953864,102,3.27722772277228,1.66203978220251,101
"I159","Chipmunk 2","Animal","Flickr/Gilles Gonthier",5.73529411764706,0.932647361416487,102,4.23,1.71655633655457,100
"I160","Chipmunk 3","Animal","Pixabay",5.52941176470588,0.908767878225174,102,3.72277227722772,1.64389057957753,101
"I161","City 1","Scene","Pixabay",4.43564356435644,1.04322424803259,101,3.13592233009709,1.56586469057909,103
"I162","Clean 1","Object","Pixabay",5.0462962962963,1.07984300744776,108,2.36538461538462,1.48819100655595,104
"I163","Cliff diver 1","Person","Wikipedia",4.83333333333333,1.26712689224722,102,4.85148514851485,1.58988137050449,101
"I164","Cliff diver 2","Person","Wikipedia",5.10891089108911,1.05736455491008,101,4.0873786407767,1.63962451534003,103
"I165","Cliff diver 3","Person","Wikipedia",5.12037037037037,1.39904902676811,108,4.75,1.62952134254978,104
"I166","Cockroach 1","Animal","Pixabay",2.05882352941176,1.17585889747351,102,4.34653465346535,2.1745603857532,101
"I167","Cockroach 2","Animal","Pixabay",2.26470588235294,1.29680850123522,102,4.10891089108911,2.16749159213599,101
"I168","Cockroach 3","Animal","Pixabay",2.45098039215686,1.30973091469914,102,3.94059405940594,2.06795445877426,101
"I169","Cockroach 4","Animal","Pixabay",2.2843137254902,1.23783147160143,102,3.94059405940594,2.08720761870121,101
"I170","Coffee 1","Object","Pixabay",5.54901960784314,1.09569319782964,102,3.8019801980198,1.70891662745845,101
"I171","Cold 1","Object","Pixabay",3.99009900990099,1.05351838621782,101,3.47572815533981,1.66182429992083,103
"I172","Cold 2","Object","Pixabay",4.73267326732673,0.798637453528331,101,2.59223300970874,1.56829427263073,103
"I173","Cold 3","Object","Pixabay",4.88235294117647,1.06514646087291,102,2.8019801980198,1.58126406384385,101
"I174","Cold 4","Object","Pixabay",5.06862745098039,1.02696133452303,102,2.96039603960396,1.63658664346993,101
"I175","Cold 5","Scene","Pixabay",5.49074074074074,1.03666765166418,108,3.20192307692308,1.85587394790978,104
"I176","Cold 6","Person","Pixabay",4.96078431372549,1.09834771160734,102,4.28712871287129,1.6330133720418,101
"I177","Cold 7","Person","Pixabay",5.29411764705882,1.14829391564843,102,3.38613861386139,1.86531657918812,101
"I178","Cold 8","Object","Pixabay",5.52475247524752,1.16270425651531,101,3.48543689320388,1.68537002203509,103
"I179","Collaboration 1","Person","Pixabay",5.43137254901961,0.969942367600625,102,3.34653465346535,1.60272045949602,101
"I180","Cotton swabs 1","Object","Pixabay",4.09803921568627,0.738070858729912,102,2.18811881188119,1.39077583590691,101
"I181","Cotton swabs 2","Object","Pixabay",4.05882352941176,0.52319523667414,102,1.86138613861386,1.24923739113346,101
"I182","Cotton swabs 3","Object","Pixabay",4.12745098039216,0.608057589564304,102,1.81188118811881,1.24669861062832,101
"I183","Couple 1","Person","Pixabay",5.53921568627451,1.24813975343627,102,3.96039603960396,1.66084792849441,101
"I184","Couple 2","Person","Pixabay",5.62745098039216,1.08929597235787,102,3.77227722772277,1.52892895923134,101
"I185","Couple 3","Person","Pixabay",4.00925925925926,1.41087478908449,108,3.44230769230769,1.63592510022082,104
"I186","Couple 4","Person","Pixabay",5.97058823529412,1.23845865840289,102,4.53465346534653,1.45302688506196,101
"I187","Couple 5","Animal","Pixabay",4.99074074074074,1.27883833362874,108,3.47115384615385,1.6307525856239,104
"I188","Couple 6","Person","Pixabay",5.6078431372549,1.10046671237773,102,4.13861386138614,1.51016358696862,101
"I189","Couple 7","Person","Pixabay",5.91666666666667,0.958240209480598,108,4.25,1.36353338828606,104
"I190","Couple 8","Person","Pixabay",5.75925925925926,1.05786215707502,108,4.16346153846154,1.58947128611376,104
"I191","Couple 9","Person","Pixabay",5.81481481481481,1.00603922321994,108,3.44230769230769,1.55686343301732,104
"I192","Crosswalk 1 ","Scene","StockOGraphy",3.96296296296296,0.668740284945431,108,2.31730769230769,1.59650360133213,104
"I193","Crow 1","Animal","Pixabay",4.70588235294118,1.0953387766016,102,2.8019801980198,1.52328462199418,101
"I194","Crow 2","Animal","Pixabay",4.40740740740741,1.18429786791357,108,2.66346153846154,1.43202332873467,104
"I195","Cups 1","Object","Pixabay",4.27722772277228,0.618365779796847,101,2.02912621359223,1.45154623898585,103
"I196","Cups 2","Object","Pixabay",4.14851485148515,0.433269860799511,101,2.0873786407767,1.40800788291928,103
"I197","Cups 3","Object","Pixabay",4.72549019607843,0.902766515269065,102,2.25742574257426,1.42585739361645,101
"I198","Cups 4","Object","Pixabay",4.13888888888889,0.618383985800151,108,2.20192307692308,1.33932172148332,104
"I199","Dancing 1","Person","Pixabay",5.30392156862745,0.962558633279285,102,3.43564356435644,1.61502843061141,101
"I200","Dancing 2","Person","Pixabay",5.2156862745098,1.10469252010148,102,3.48514851485149,1.57869478612009,101
"I201","Dancing 3","Person","Pixabay",4.88235294117647,1.21291823569291,102,3.85148514851485,1.64551595928974,101
"I202","Dancing 4","Person","Pixabay",5.53921568627451,1.19960033466143,102,3.65346534653465,1.46584885690412,101
"I203","Dancing 5","Person","Pixabay",5.69607843137255,1.06044279642076,102,3.54455445544554,1.50016500742583,101
"I204","Dancing 6","Person","Pixabay",5.80555555555556,0.941844812636531,108,3.69230769230769,1.5646391257177,104
"I205","Dancing 7","Person","Pixabay",5.87037037037037,1.09452838469739,108,3.375,1.46272454918762,104
"I206","Dancing 8","Person","Pixabay",5.31372549019608,0.889770157849353,102,3.40594059405941,1.42252042390809,101
"I207","Dancing 9","Person","Pixabay",5.58415841584158,0.972289326617065,101,3.83495145631068,1.5786385756475,103
"I208","Dead bodies 1","Person","Wikipedia",1.1980198019802,0.735116344263927,101,4.51456310679612,2.48471435873581,103
"I209","Dead bodies 2","Person","Wikipedia",1.24752475247525,0.698655002044062,101,4.47572815533981,2.37158282626742,103
"I210","Dead bodies 3","Person","Wikipedia",1.32352941176471,0.810350916601736,102,5.12871287128713,2.15714332549617,101
"I211","Depressed face 1","Person","Pixabay",3.76470588235294,0.88077902723472,102,3.06930693069307,1.51167076933156,101
"I212","Depressed face 2","Person","Pixabay",3.82407407407407,1.03966838443897,108,3.01923076923077,1.51356820887846,104
"I213","Depressed pose 1","Person","Wikipedia",2.69444444444444,0.825508433908963,108,3.45192307692308,1.66564257807877,104
"I214","Depressed pose 2","Person","Pixabay",3.48514851485149,0.933957829734711,101,3.24271844660194,1.62375756073034,103
"I215","Depressed pose 3","Person","Wikipedia",2.65686274509804,0.959528535624417,102,4.00990099009901,1.56521595637759,101
"I216","Depressed pose 4","Person","Wikipedia",3.25490196078431,0.828768315626398,102,3.28712871287129,1.45833215464356,101
"I217","Desert 1","Scene","Pixabay",4,1.39424719244647,108,3.26923076923077,1.79119079136838,104
"I218","Dessert 1","Object","Pixabay",5.33333333333333,1.11987740960395,102,3.40594059405941,1.64425191392184,101
"I219","Dessert 2","Object","Pixabay",5.73529411764706,1.1073692899487,102,3.24752475247525,1.75730441639495,101
"I220","Dessert 3","Object","Pixabay",5.63366336633663,1.07445588347989,101,4.20388349514563,1.82229774853967,103
"I221","Dessert 4","Object","Pixabay",5.38888888888889,1.03971000030547,108,3.11538461538462,1.62090525053666,104
"I222","Dessert 5","Object","Pixabay",5.53465346534653,0.900714787661928,101,3.86407766990291,1.67477562845682,103
"I223","Dessert 6","Object","Pixabay",5.58823529411765,1.0932098362477,102,3.85148514851485,1.78541949476229,101
"I224","Dessert 7","Object","Pixabay",5.4537037037037,1.12228288085449,108,3.13461538461538,1.78482107181695,104
"I225","Dessert 8","Person","Pixabay",5.76851851851852,0.913107884644336,108,3.36538461538462,1.70127132535627,104
"I226","Destruction 1","Scene","Pixabay",3.17647058823529,1.53126987168117,102,4.31683168316832,1.77161334985548,101
"I227","Destruction 4","Scene","Pixabay",1.84259259259259,0.938900102546293,108,3.93269230769231,2.06338595835683,104
"I228","Destruction 5","Scene","Pixabay",2.14851485148515,1.08061222104751,101,3.80582524271845,1.89973296589534,103
"I229","Destruction 6","Scene","Pixabay",2.00990099009901,1.18739251728273,101,4.09708737864078,2.13061053160547,103
"I230","Destruction 7","Scene","Pixabay",2.00990099009901,0.953887304716343,101,3.85436893203884,2.10232255780709,103
"I231","Destruction 8","Scene","Pixabay",2.23529411764706,1.13605597571821,102,4.22772277227723,1.76567940532143,101
"I232","Destruction 9","Scene","Pixabay",3.55555555555556,0.878968526047396,108,2.48543689320388,1.66782750359946,103
"I233","Destruction 10","Scene","Pixabay",2.0990099009901,1.04407806695716,101,3.59223300970874,1.9675648989166,103
"I234","Dirt 1","Scene","Pixabay",1.6078431372549,0.82241930893244,102,4.98019801980198,1.97979896969264,101
"I235","Destruction 2","Scene","Pixabay",2.18627450980392,1.02184449958103,102,3.05940594059406,1.77663604701817,101
"I236","Destruction 3","Scene","Pixabay",1.89814814814815,0.916513250637801,108,3.59615384615385,2.05515799486768,104
"I237","Dirt 2","Scene","Pixabay",5.59803921568627,1.07408541727156,102,3.34653465346535,1.85707104637575,101
"I238","Dirt 3","Scene","Pixabay",4.13861386138614,0.566210260774158,101,2.03883495145631,1.3714335572326,103
"I239","Dirt 4","Scene","Pixabay",4,0.808372034730701,102,1.91089108910891,1.20912373147656,101
"I240","Dirt 5","Scene","Pixabay",3.54455445544554,0.83096031764757,101,1.99029126213592,1.37552232953178,103
"I241","Dock 1","Scene","Pixabay",5.56435643564356,1.02387344514992,101,3.64077669902913,1.63211860951653,103
"I242","Doctor 1","Person","Pixabay",4.66666666666667,1.11987740960395,102,3.14851485148515,1.6024115489715,101
"I243","Doctor 2","Person","Pixabay",4.05555555555556,1.28857911556553,108,3.65384615384615,1.78868737883633,104
"I244","Doctor 3","Person","Pixabay",4.35185185185185,1.16261721197707,108,3.18269230769231,1.67079088927023,104
"I245","Doctor 4","Person","Pixabay",3.81188118811881,1.1976048704571,101,3.88349514563107,1.82735730578763,103
